--- 1. Load prepared metadata ---
Dataset path: data/synthetic/classification_dataset_stft_awgn.mat
Loaded normalization stats from file: Min=-66.79, Max=42.62
Using normalization: Min=-66.79414273355333, Max=42.6166170262395
Initializing RAM Datasets (This may take 1-2 mins)...
preload: Loading dataset from data/synthetic/classification_dataset_stft_awgn.mat into RAM...
preload: Loaded 69300 frames into RAM.
preload: Loading dataset from data/synthetic/classification_dataset_stft_awgn.mat into RAM...
preload: Loaded 26070 frames into RAM.
Using device: cuda
Starting High-Performance Training...
Epoch [7/50] Step [50/227] Loss: 0.8200 | Elapsed: 13s | ETA: 46s
Epoch [7/50] Step [60/227] Loss: 0.7875 | Elapsed: 15s | ETA: 43s
Epoch [7/50] Step [70/227] Loss: 0.7529 | Elapsed: 18s | ETA: 40s
Epoch [7/50] Step [80/227] Loss: 0.7618 | Elapsed: 20s | ETA: 38s
Epoch [7/50] Step [90/227] Loss: 0.6245 | Elapsed: 23s | ETA: 35s
Epoch [7/50] Step [100/227] Loss: 0.6441 | Elapsed: 25s | ETA: 32s
Epoch [7/50] Step [110/227] Loss: 0.6469 | Elapsed: 28s | ETA: 30s
Epoch [7/50] Step [120/227] Loss: 0.7359 | Elapsed: 30s | ETA: 27s
Epoch [7/50] Step [130/227] Loss: 0.7961 | Elapsed: 33s | ETA: 25s
Epoch [7/50] Step [140/227] Loss: 0.7143 | Elapsed: 35s | ETA: 22s
Epoch [7/50] Step [150/227] Loss: 0.8209 | Elapsed: 38s | ETA: 19s
Epoch [7/50] Step [160/227] Loss: 0.5848 | Elapsed: 40s | ETA: 17s
Epoch [7/50] Step [170/227] Loss: 0.6267 | Elapsed: 43s | ETA: 14s
Epoch [7/50] Step [180/227] Loss: 0.6540 | Elapsed: 45s | ETA: 12s
Epoch [7/50] Step [190/227] Loss: 0.6498 | Elapsed: 48s | ETA: 9s
Epoch [7/50] Step [200/227] Loss: 0.6635 | Elapsed: 50s | ETA: 7s
Epoch [7/50] Step [210/227] Loss: 0.5342 | Elapsed: 53s | ETA: 4s
Epoch [7/50] Step [220/227] Loss: 0.6448 | Elapsed: 55s | ETA: 2s
Epoch [7/50] Step [227/227] Loss: 0.5247 | Elapsed: 57s | ETA: 0s
